,price,location,baths,bedrooms,Total_Area
9973,260.0,I-10,2,4,22869.084
9974,180.0,DHA Defence,3,3,1361.255
9975,850.0,E-11,7,7,5445.0
9976,300.0,DHA Defence,5,5,2722.51
9977,400.0,DHA Defence,6,6,5445.0
9978,180.0,G-14,6,4,1361.255
9979,100.0,Abdullah Garden,3,3,1905.757
9980,85.0,Ghauri Town,6,4,1361.255
9981,50.0,Marwa Town,3,2,15246.056
9983,175.0,Shehzad Town,4,4,2178.008
9985,350.0,G-11,5,5,2178.008
9986,310.0,G-11,5,5,2178.008
9988,150.0,Bahria Town,4,3,1361.255
9989,160.0,Bahria Town,4,3,1361.255
9990,530.0,Bahria Town,7,6,5445.0
9991,540.0,Bahria Town,7,6,5445.0
9992,550.0,Bahria Town,7,6,5445.0
9993,500.0,Bahria Town,7,6,5445.0
9994,450.0,Bahria Town,7,6,5445.0
9995,400.0,Bahria Town,7,6,5445.0
9996,290.0,Bahria Town,5,4,2722.51
9997,245.0,Bahria Town,5,4,2722.51
9998,250.0,Bahria Town,5,4,2722.51
9999,270.0,Bahria Town,5,4,2722.51
10000,60.0,Simly Dam Road,5,4,2178.008
10001,420.0,G-11,3,3,3267.012
10002,90.0,B-17,4,4,1361.255
10003,130.0,G-15,6,6,3811.514
10004,145.0,F-17,6,6,1905.757
10005,1150.0,F-7,6,5,70785.0
10006,140.0,FECHS,6,6,2722.51
10008,310.0,D-18,5,5,65340.0
10009,1900.0,F-7,6,5,114345.0
10010,90.0,Bhara kahu,4,4,1633.506
10011,630.0,E-11,7,6,5445.0
10012,235.0,Bahria Town,6,5,2722.51
10039,282.0,E-11,6,6,1633.506
10040,550.0,DHA Defence,6,5,5445.0
10041,45.0,Kuri Road,3,2,1361.255
10042,45.0,Kuri Road,3,2,1361.255
10043,255.0,Bani Gala,7,7,38659.642
10044,750.0,F-10,7,6,59895.0
10045,310.0,G-13,6,5,2178.008
10046,75.0,D-14,5,5,2722.51
10047,1200.0,F-8,5,5,70785.0
10048,1250.0,G-9,5,5,65340.0
10049,1050.0,F-10,5,5,10890.0
10050,1250.0,F-8,5,5,70785.0
10051,1200.0,F-8,5,5,65340.0
10052,1400.0,F-8,5,5,70785.0
10053,640.0,F-11,8,8,4356.016
10054,37.0,D-14,2,2,1361.255
10064,1100.0,F-8,8,8,98010.0
10065,230.0,G-10,4,4,1361.255
10067,148.0,Pakistan Town,5,4,1633.506
10076,75.0,DHA Defence,4,3,2178.008
10077,85.0,Bani Gala,3,2,2178.008
10078,440.0,DHA Defence,8,6,5445.0
